Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAgg,FineAgg,AgeDays,W.C,StrengthMPa
540,0,0,162,2.5,1055,676,28,0.3,61.89
332.5,142.5,0,228,0,932,594,270,0.685714286,40.27
332.5,142.5,0,228,0,932,594,365,0.685714286,41.05
198.6,132.4,0,192,0,978.4,825.5,360,0.966767372,44.3
266,114,0,228,0,932,670,90,0.857142857,47.03
380,95,0,228,0,932,594,365,0.6,43.7
380,95,0,228,0,932,594,28,0.6,36.45
266,114,0,228,0,932,670,28,0.857142857,45.85
475,0,0,228,0,932,594,28,0.48,39.29
198.6,132.4,0,192,0,978.4,825.5,90,0.966767372,38.07
198.6,132.4,0,192,0,978.4,825.5,28,0.966767372,28.02
427.5,47.5,0,228,0,932,594,270,0.533333333,43.01
190,190,0,228,0,932,670,90,1.2,42.33
304,76,0,228,0,932,670,28,0.75,47.81
380,0,0,228,0,932,670,90,0.6,52.91
139.6,209.4,0,192,0,1047,806.9,90,1.375358166,39.36
342,38,0,228,0,932,670,365,0.666666667,56.14
380,95,0,228,0,932,594,90,0.6,40.56
475,0,0,228,0,932,594,180,0.48,42.62
427.5,47.5,0,228,0,932,594,180,0.533333333,41.84
139.6,209.4,0,192,0,1047,806.9,28,1.375358166,28.24
139.6,209.4,0,192,0,1047,806.9,3,1.375358166,8.06
139.6,209.4,0,192,0,1047,806.9,180,1.375358166,44.21
380,0,0,228,0,932,670,365,0.6,52.52
380,0,0,228,0,932,670,270,0.6,53.3
380,95,0,228,0,932,594,270,0.6,41.15
342,38,0,228,0,932,670,180,0.666666667,52.12
427.5,47.5,0,228,0,932,594,28,0.533333333,37.43
475,0,0,228,0,932,594,7,0.48,38.6
304,76,0,228,0,932,670,365,0.75,55.26
266,114,0,228,0,932,670,365,0.857142857,52.91
198.6,132.4,0,192,0,978.4,825.5,180,0.966767372,41.72
475,0,0,228,0,932,594,270,0.48,42.13
190,190,0,228,0,932,670,365,1.2,53.69
237.5,237.5,0,228,0,932,594,270,0.96,38.41
237.5,237.5,0,228,0,932,594,28,0.96,30.08
332.5,142.5,0,228,0,932,594,90,0.685714286,37.72
475,0,0,228,0,932,594,90,0.48,42.23
237.5,237.5,0,228,0,932,594,180,0.96,36.25
342,38,0,228,0,932,670,90,0.666666667,50.46
427.5,47.5,0,228,0,932,594,365,0.533333333,43.7
237.5,237.5,0,228,0,932,594,365,0.96,39
380,0,0,228,0,932,670,180,0.6,53.1
427.5,47.5,0,228,0,932,594,90,0.533333333,41.54
427.5,47.5,0,228,0,932,594,7,0.533333333,35.08
349,0,0,192,0,1047,806.9,3,0.550143266,15.05
380,95,0,228,0,932,594,180,0.6,40.76
237.5,237.5,0,228,0,932,594,7,0.96,26.26
380,95,0,228,0,932,594,7,0.6,32.82
332.5,142.5,0,228,0,932,594,180,0.685714286,39.78
190,190,0,228,0,932,670,180,1.2,46.93
237.5,237.5,0,228,0,932,594,90,0.96,33.12
304,76,0,228,0,932,670,90,0.75,49.19
139.6,209.4,0,192,0,1047,806.9,7,1.375358166,14.59
198.6,132.4,0,192,0,978.4,825.5,7,0.966767372,14.64
475,0,0,228,0,932,594,365,0.48,41.93
198.6,132.4,0,192,0,978.4,825.5,3,0.966767372,9.13
304,76,0,228,0,932,670,180,0.75,50.95
332.5,142.5,0,228,0,932,594,28,0.685714286,33.02
304,76,0,228,0,932,670,270,0.75,54.38
266,114,0,228,0,932,670,270,0.857142857,51.73
310,0,0,192,0,971,850.6,3,0.619354839,9.87
190,190,0,228,0,932,670,270,1.2,50.66
266,114,0,228,0,932,670,180,0.857142857,48.7
342,38,0,228,0,932,670,270,0.666666667,55.06
139.6,209.4,0,192,0,1047,806.9,360,1.375358166,44.7
332.5,142.5,0,228,0,932,594,7,0.685714286,30.28
190,190,0,228,0,932,670,28,1.2,40.86
485,0,0,146,0,1120,800,28,0.301030928,71.99
374,189.2,0,170.1,10.1,926.1,756.7,3,0.454812834,34.4
313.3,262.2,0,175.5,8.6,1046.9,611.8,3,0.560165975,28.8
425,106.3,0,153.5,16.5,852.1,887.1,3,0.361176471,33.4
425,106.3,0,151.4,18.6,936,803.7,3,0.356235294,36.3
475,118.8,0,181.1,8.9,852.1,781.5,3,0.381263158,37.8
425,106.3,0,153.5,16.5,852.1,887.1,3,0.361176471,33.4
388.6,97.1,0,157.9,12.1,852.1,925.7,3,0.406330417,28.1
425,106.3,0,153.5,16.5,852.1,887.1,3,0.361176471,33.4
318.8,212.5,0,155.7,14.3,852.1,880.4,3,0.488393977,25.2
401.8,94.7,0,147.4,11.4,946.8,852.1,3,0.366849179,41.1
362.6,189,0,164.9,11.6,944.7,755.8,3,0.454771098,35.3
323.7,282.8,0,183.8,10.3,942.7,659.9,3,0.5678097,28.3
379.5,151.2,0,153.9,15.9,1134.3,605,3,0.405533597,28.6
362.6,189,0,164.9,11.6,944.7,755.8,3,0.454771098,35.3
286.3,200.9,0,144.7,11.2,1004.6,803.7,3,0.505413902,24.4
